created_at,id,user_id,screen_name,followers_count,friend_count,in_reply_to_user_id,in_reply_to_screen_name,text,time,ideal_point
2022-07-06 02:04:47+00:00,1.544502590699864e+18,8.659556857874227e+17,Claudia06401427,1186.0,1688.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:04:47+00:00,-1.1520474
2022-07-06 02:05:42+00:00,1.5445028220787507e+18,1.0540811377804452e+18,Marcela86876660,216.0,65.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:05:42+00:00,0.32851124
2022-07-06 02:06:30+00:00,1.5445030208844104e+18,1.2682461442929254e+18,monse_candiar,195.0,578.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:06:30+00:00,-0.6649004
2022-07-06 02:06:55+00:00,1.544503125045805e+18,2963035414.0,luisgastons,3744.0,4844.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:06:55+00:00,-0.41388
2022-07-06 02:07:02+00:00,1.5445031572959232e+18,1.186689248935764e+18,Ester905280401,107.0,52.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:07:02+00:00,-0.6239618
2022-07-06 02:07:06+00:00,1.5445031710867825e+18,53140568.0,kikayfelipe,2503.0,2762.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:07:06+00:00,-0.9252574
2022-07-06 02:10:50+00:00,1.544504110535258e+18,1.1962955240994693e+18,JuanPabloMoyita,1152.0,2082.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:10:50+00:00,-0.23652695
2022-07-06 02:11:17+00:00,1.5445042273843487e+18,345716936.0,Carlos_vs1,9.0,39.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:11:17+00:00,-0.72279274
2022-07-06 02:14:20+00:00,1.5445049945267282e+18,1.371435093328298e+18,JuanPab93300437,94.0,121.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:14:20+00:00,-0.97952646
2022-07-06 02:15:30+00:00,1.5445052849991885e+18,1414490552.0,carmenrosselot,190.0,30.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:15:30+00:00,0.516729
2022-07-06 02:15:35+00:00,1.5445053070232863e+18,1025101351.0,anidilokeka,3697.0,4558.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:15:35+00:00,-0.80635977
2022-07-06 02:18:02+00:00,1.5445059235482993e+18,1866188952.0,RicardoTrostelP,8849.0,5450.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:18:02+00:00,-0.023046438
2022-07-06 02:21:41+00:00,1.5445068439086244e+18,1.3857128486812426e+18,Ariscachorrito,108.0,285.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:21:41+00:00,-0.8082333
2022-07-06 02:21:52+00:00,1.544506887399424e+18,892949749.0,edgardtapia,435.0,4265.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:21:52+00:00,-0.45237866
2022-07-06 02:22:17+00:00,1.5445069922485125e+18,14539823.0,mcorvalan,992.0,2203.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 02:22:17+00:00,
